texte,sentiment
Forte baisse de la valeur aujourd'hui.,negatif
Le marché subit une pression vendeuse.,negatif
Une perte de 4.74% est enregistrée.,negatif
Le marché clôture en baisse.,negatif
Le marché subit une pression vendeuse.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Une perte de 0.85% est enregistrée.,negatif
"Le prix passe de 64.71€ à 58.03€, une baisse significative.",negatif
Le secteur est dans le rouge.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le recul atteint 7.87 points.,negatif
"Le prix passe de 98.95€ à 95.98€, une baisse significative.",negatif
"Le prix passe de 97.54€ à 89.23€, une baisse significative.",negatif
Le cours baisse de 7.66 euros.,negatif
Le titre chute de 4.77%.,negatif
Le recul atteint 1.03 points.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le recul atteint 6.08 points.,negatif
Le marché subit une pression vendeuse.,negatif
Le marché clôture en baisse.,negatif
Le marché subit une pression vendeuse.,negatif
"Le prix passe de 52.6€ à 49.87€, une baisse significative.",negatif
Les actions reculent suite aux inquiétudes.,negatif
"Le prix passe de 37.2€ à 33.08€, une baisse significative.",negatif
Le titre chute de 1.47%.,negatif
Une perte de 4.98% est enregistrée.,negatif
Une perte de 2.83% est enregistrée.,negatif
Une perte de 3.66% est enregistrée.,negatif
Le secteur est dans le rouge.,negatif
Le recul atteint 6.47 points.,negatif
Une perte de 9.34% est enregistrée.,negatif
Le titre chute de 9.89%.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le cours baisse de 5.3 euros.,negatif
Le marché subit une pression vendeuse.,negatif
Le marché subit une pression vendeuse.,negatif
Le marché subit une pression vendeuse.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le secteur est dans le rouge.,negatif
Le titre chute de 7.11%.,negatif
Le cours baisse de 2.22 euros.,negatif
Une perte de 6.43% est enregistrée.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le recul atteint 6.11 points.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le marché subit une pression vendeuse.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le marché clôture en baisse.,negatif
Une perte de 5.11% est enregistrée.,negatif
Le titre chute de 1.77%.,negatif
Le marché clôture en baisse.,negatif
Le marché clôture en baisse.,negatif
Le recul atteint 9.38 points.,negatif
Le titre chute de 4.95%.,negatif
Le titre chute de 8.71%.,negatif
Le secteur est dans le rouge.,negatif
Le titre chute de 0.5%.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le marché clôture en baisse.,negatif
Le titre chute de 5.93%.,negatif
Le recul atteint 8.98 points.,negatif
Le marché clôture en baisse.,negatif
Le marché subit une pression vendeuse.,negatif
Une perte de 5.69% est enregistrée.,negatif
Le titre chute de 2.87%.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le recul atteint 9.66 points.,negatif
Le marché clôture en baisse.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le recul atteint 5.97 points.,negatif
Le titre chute de 9.01%.,negatif
Le titre chute de 7.27%.,negatif
Le cours baisse de 8.09 euros.,negatif
Une perte de 2.76% est enregistrée.,negatif
"Le prix passe de 99.27€ à 91.04€, une baisse significative.",negatif
Le secteur est dans le rouge.,negatif
Le secteur est dans le rouge.,negatif
Le titre chute de 0.7%.,negatif
Les actions reculent suite aux inquiétudes.,negatif
Le marché subit une pression vendeuse.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le secteur est dans le rouge.,negatif
Une perte de 3.72% est enregistrée.,negatif
Le recul atteint 5.74 points.,negatif
Le secteur est dans le rouge.,negatif
Une perte de 5.58% est enregistrée.,negatif
Forte baisse de la valeur aujourd'hui.,negatif
Le marché subit une pression vendeuse.,negatif
Le secteur est dans le rouge.,negatif
Une perte de 3.0% est enregistrée.,negatif
Le secteur est dans le rouge.,negatif
"Le prix passe de 45.13€ à 41.9€, une baisse significative.",negatif
Le marché clôture en baisse.,negatif
Peu de mouvement observé sur les valeurs principales.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Le volume d'échange reste modéré.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Aucune direction claire ne se dessine.,neutre
Aucune direction claire ne se dessine.,neutre
Le marché attend les prochaines annonces économiques.,neutre
La tendance reste incertaine.,neutre
Pas de changement significatif dans les indices.,neutre
Le marché attend les prochaines annonces économiques.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Le marché attend les prochaines annonces économiques.,neutre
La tendance reste incertaine.,neutre
La tendance reste incertaine.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
La tendance reste incertaine.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Le volume d'échange reste modéré.,neutre
Aucune direction claire ne se dessine.,neutre
Le volume d'échange reste modéré.,neutre
Les marchés restent stables aujourd'hui.,neutre
Le volume d'échange reste modéré.,neutre
Pas de changement significatif dans les indices.,neutre
Les investisseurs restent prudents.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
La tendance reste incertaine.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Aucune direction claire ne se dessine.,neutre
Pas de changement significatif dans les indices.,neutre
Les marchés restent stables aujourd'hui.,neutre
La tendance reste incertaine.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Les investisseurs restent prudents.,neutre
Les investisseurs restent prudents.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Les marchés restent stables aujourd'hui.,neutre
Le volume d'échange reste modéré.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Les investisseurs restent prudents.,neutre
Les marchés restent stables aujourd'hui.,neutre
Activité calme sur les marchés ce jour.,neutre
Les investisseurs restent prudents.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Activité calme sur les marchés ce jour.,neutre
La tendance reste incertaine.,neutre
Le volume d'échange reste modéré.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Les investisseurs restent prudents.,neutre
La tendance reste incertaine.,neutre
Activité calme sur les marchés ce jour.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Les marchés restent stables aujourd'hui.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Activité calme sur les marchés ce jour.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Le volume d'échange reste modéré.,neutre
Activité calme sur les marchés ce jour.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Le volume d'échange reste modéré.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Les marchés restent stables aujourd'hui.,neutre
Le volume d'échange reste modéré.,neutre
Activité calme sur les marchés ce jour.,neutre
Aucune direction claire ne se dessine.,neutre
Les investisseurs restent prudents.,neutre
La tendance reste incertaine.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Activité calme sur les marchés ce jour.,neutre
Les investisseurs restent prudents.,neutre
La tendance reste incertaine.,neutre
Les marchés restent stables aujourd'hui.,neutre
Les marchés restent stables aujourd'hui.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
La tendance reste incertaine.,neutre
Les investisseurs restent prudents.,neutre
Les investisseurs restent prudents.,neutre
Activité calme sur les marchés ce jour.,neutre
Les marchés restent stables aujourd'hui.,neutre
Aucune direction claire ne se dessine.,neutre
Aucune direction claire ne se dessine.,neutre
Les investisseurs restent prudents.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
La tendance reste incertaine.,neutre
Le volume d'échange reste modéré.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Pas de changement significatif dans les indices.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Le marché attend les prochaines annonces économiques.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Les marchés restent stables aujourd'hui.,neutre
Les investisseurs restent prudents.,neutre
Aucune direction claire ne se dessine.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Le volume d'échange reste modéré.,neutre
Le volume d'échange reste modéré.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
La tendance reste incertaine.,neutre
Le volume d'échange reste modéré.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Les marchés restent stables aujourd'hui.,neutre
Activité calme sur les marchés ce jour.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Les marchés restent stables aujourd'hui.,neutre
La tendance reste incertaine.,neutre
Les marchés restent stables aujourd'hui.,neutre
Aucune direction claire ne se dessine.,neutre
Les marchés restent stables aujourd'hui.,neutre
Le volume d'échange reste modéré.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Les investisseurs restent prudents.,neutre
Le marché attend les prochaines annonces économiques.,neutre
La tendance reste incertaine.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Le volume d'échange reste modéré.,neutre
Les investisseurs restent prudents.,neutre
Le volume d'échange reste modéré.,neutre
La tendance reste incertaine.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Les investisseurs restent prudents.,neutre
Les investisseurs restent prudents.,neutre
Pas de changement significatif dans les indices.,neutre
La tendance reste incertaine.,neutre
Les investisseurs restent prudents.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
La tendance reste incertaine.,neutre
Le volume d'échange reste modéré.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Les marchés restent stables aujourd'hui.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Activité calme sur les marchés ce jour.,neutre
Les marchés restent stables aujourd'hui.,neutre
Activité calme sur les marchés ce jour.,neutre
Les investisseurs restent prudents.,neutre
Pas de changement significatif dans les indices.,neutre
Aucune direction claire ne se dessine.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Les marchés restent stables aujourd'hui.,neutre
La tendance reste incertaine.,neutre
La tendance reste incertaine.,neutre
La tendance reste incertaine.,neutre
Le volume d'échange reste modéré.,neutre
La tendance reste incertaine.,neutre
Aucune direction claire ne se dessine.,neutre
Les marchés restent stables aujourd'hui.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Aucune direction claire ne se dessine.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
La tendance reste incertaine.,neutre
Les investisseurs restent prudents.,neutre
Le volume d'échange reste modéré.,neutre
Les investisseurs restent prudents.,neutre
Activité calme sur les marchés ce jour.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Les marchés restent stables aujourd'hui.,neutre
Le volume d'échange reste modéré.,neutre
Les investisseurs restent prudents.,neutre
Les marchés restent stables aujourd'hui.,neutre
Pas de changement significatif dans les indices.,neutre
Pas de changement significatif dans les indices.,neutre
Le marché attend les prochaines annonces économiques.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Les marchés restent stables aujourd'hui.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Pas de changement significatif dans les indices.,neutre
Pas de changement significatif dans les indices.,neutre
Les marchés restent stables aujourd'hui.,neutre
Les marchés restent stables aujourd'hui.,neutre
La tendance reste incertaine.,neutre
Les investisseurs restent prudents.,neutre
La tendance reste incertaine.,neutre
La tendance reste incertaine.,neutre
Les investisseurs restent prudents.,neutre
Le volume d'échange reste modéré.,neutre
Activité calme sur les marchés ce jour.,neutre
La tendance reste incertaine.,neutre
Aucune direction claire ne se dessine.,neutre
La tendance reste incertaine.,neutre
La tendance reste incertaine.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Aucune direction claire ne se dessine.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Aucune direction claire ne se dessine.,neutre
Pas de changement significatif dans les indices.,neutre
Aucune direction claire ne se dessine.,neutre
Aucune direction claire ne se dessine.,neutre
Activité calme sur les marchés ce jour.,neutre
Les investisseurs restent prudents.,neutre
Activité calme sur les marchés ce jour.,neutre
La tendance reste incertaine.,neutre
La tendance reste incertaine.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Les investisseurs restent prudents.,neutre
Les marchés restent stables aujourd'hui.,neutre
Pas de changement significatif dans les indices.,neutre
Les marchés restent stables aujourd'hui.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Activité calme sur les marchés ce jour.,neutre
Le volume d'échange reste modéré.,neutre
Les investisseurs restent prudents.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Pas de changement significatif dans les indices.,neutre
Aucune direction claire ne se dessine.,neutre
Le volume d'échange reste modéré.,neutre
Pas de changement significatif dans les indices.,neutre
Les marchés restent stables aujourd'hui.,neutre
La tendance reste incertaine.,neutre
Les marchés restent stables aujourd'hui.,neutre
Les marchés restent stables aujourd'hui.,neutre
Le volume d'échange reste modéré.,neutre
Les investisseurs restent prudents.,neutre
Les marchés restent stables aujourd'hui.,neutre
Les investisseurs restent prudents.,neutre
Aucune direction claire ne se dessine.,neutre
Le volume d'échange reste modéré.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Les investisseurs restent prudents.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Le volume d'échange reste modéré.,neutre
La tendance reste incertaine.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Les investisseurs restent prudents.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Le volume d'échange reste modéré.,neutre
Le volume d'échange reste modéré.,neutre
Les investisseurs restent prudents.,neutre
La tendance reste incertaine.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Peu de mouvement observé sur les valeurs principales.,neutre
Les marchés restent stables aujourd'hui.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
Les marchés restent stables aujourd'hui.,neutre
Le marché attend les prochaines annonces économiques.,neutre
Activité calme sur les marchés ce jour.,neutre
Les investisseurs restent prudents.,neutre
La séance s'est déroulée sans volatilité notable.,neutre
